STRASSE,STRANAM,HSZ
3243,Naupliastr.,30
3243,Naupliastr.,31
3243,Naupliastr.,32
3243,Naupliastr.,33
3243,Naupliastr.,34
3243,Naupliastr.,106
3243,Naupliastr.,109
3243,Naupliastr.,110
3243,Naupliastr.,111
3243,Naupliastr.,112
1432,Geiselgasteigstr.,203
1475,Gerhardstr.,4
1667,Grünwalder Str.,245
1667,Grünwalder Str.,247
1667,Grünwalder Str.,248
1667,Grünwalder Str.,250
1667,Grünwalder Str.,253
1667,Grünwalder Str.,255
1667,Grünwalder Str.,258
2387,Kastanienstr.,19
2387,Kastanienstr.,21
2391,Kastenseestr.,3
2391,Kastenseestr.,6
2391,Kastenseestr.,9
2391,Kastenseestr.,10
2391,Kastenseestr.,11
2391,Kastenseestr.,12
2391,Kastenseestr.,15
2391,Kastenseestr.,17
2391,Kastenseestr.,18
1802,Harthauser Str.,33
1802,Harthauser Str.,35
1802,Harthauser Str.,37
1802,Harthauser Str.,48a
1802,Harthauser Str.,58
4989,Waldschulstr.,45a
2106,Holzkirchner Str.,2
2106,Holzkirchner Str.,3
2106,Holzkirchner Str.,6
2106,Holzkirchner Str.,9
2730,Lebscheestr.,4
2730,Lebscheestr.,5
2730,Lebscheestr.,9
2730,Lebscheestr.,10
3243,Naupliastr.,35
3243,Naupliastr.,36
3243,Naupliastr.,37
3243,Naupliastr.,39
3243,Naupliastr.,41
3243,Naupliastr.,42
2721,Lautererstr.,31
1667,Grünwalder Str.,268
1667,Grünwalder Str.,270
1861,Heigelstr.,25
1861,Heigelstr.,26
1861,Heigelstr.,27
1861,Heigelstr.,28
1861,Heigelstr.,29
1861,Heigelstr.,34
1882,Heinrich-Kröller-Str.,2
1882,Heinrich-Kröller-Str.,3
1667,Grünwalder Str.,32b
1667,Grünwalder Str.,34
1667,Grünwalder Str.,37
1667,Grünwalder Str.,39
1667,Grünwalder Str.,42
1667,Grünwalder Str.,45
1667,Grünwalder Str.,46
1667,Grünwalder Str.,55
1276,Franz-Nißl-Str.,50
2106,Holzkirchner Str.,10
2141,Humboldtstr.,1
2141,Humboldtstr.,3
2141,Humboldtstr.,5
2141,Humboldtstr.,9
2468,Klausener Pl.,2
2468,Klausener Pl.,2b
2468,Klausener Pl.,10
2468,Klausener Pl.,11
3509,Perathonerstr.,14
3509,Perathonerstr.,15
3509,Perathonerstr.,23
3529,Peter-Auzinger-Str.,5
3529,Peter-Auzinger-Str.,7
3529,Peter-Auzinger-Str.,11
2717,Laurinpl.,5
2717,Laurinpl.,7
2717,Laurinpl.,9
2721,Lautererstr.,2
2721,Lautererstr.,6
1882,Heinrich-Kröller-Str.,4
1882,Heinrich-Kröller-Str.,5
1882,Heinrich-Kröller-Str.,7
2265,Jollystr.,9
2265,Jollystr.,10
2265,Jollystr.,12
698,Bruggspergerstr.,92
2282,Josef-Vötter-Str.,3
2282,Josef-Vötter-Str.,4
2282,Josef-Vötter-Str.,5
2741,Leharstr.,8
1794,Harlachinger Str.,27
1794,Harlachinger Str.,31
1802,Harthauser Str.,1
1802,Harthauser Str.,3
1802,Harthauser Str.,5
1802,Harthauser Str.,5a
1802,Harthauser Str.,7
2019,Hochkalterstr.,15
2468,Klausener Pl.,12
2468,Klausener Pl.,14
2468,Klausener Pl.,15
2468,Klausener Pl.,17
2468,Klausener Pl.,19
1667,Grünwalder Str.,145a
1667,Grünwalder Str.,148
1667,Grünwalder Str.,150
1667,Grünwalder Str.,151a
3243,Naupliastr.,113
4139,Schichtlstr.,73
3243,Naupliastr.,115
3243,Naupliastr.,116
3243,Naupliastr.,118
3301,Nithartstr.,1
3529,Peter-Auzinger-Str.,13
3529,Peter-Auzinger-Str.,15
3540,Petristr.,1
3540,Petristr.,3
3540,Petristr.,5
2282,Josef-Vötter-Str.,6
2282,Josef-Vötter-Str.,8
2282,Josef-Vötter-Str.,10
2265,Jollystr.,8a
1475,Gerhardstr.,35
1475,Gerhardstr.,37
1475,Gerhardstr.,39
1509,Gindelalmstr.,1
1509,Gindelalmstr.,3
1509,Gindelalmstr.,7
2019,Hochkalterstr.,17
2019,Hochkalterstr.,23
2019,Hochkalterstr.,25
2022,Hochleite,1
2022,Hochleite,2
2022,Hochleite,3
2022,Hochleite,10
2022,Hochleite,11
